uid,barcode,ddn,location,itype,isbn,publishercode,pages,place,author,title,abstract,notes,seriestitle,copyrightdate,tags
1025,1920,823/CHO,Primary section,BKS,,English edition,17p.,,"Chowdhury, Rohini",Hari's train journey,Childrens story based on Haris train journey,,,,"""Children's Books, Travel, Adventure, Trains, Storybook, Journey, Kids Literature, Transportation, Cultural Exploration, Fiction, Indian Characters"""
1026,1921,823.087/UDA,Higher Secondary section,BKS,9789353023027,Harpercollins childrens books,216p.,Noida,"Udasi, Harshikaa",Flipped : adventure stories : ghost stories,"The Flipped Anthology series gives you two themes, two covers and two sides to open the book from ... and you get to choose! Now you don't need to keep a book away if you don't like a story or a theme, you only need to flip the book over and start reading again!",,,2019,"""Flipped Anthology"", ""Adventure Stories"", ""Ghost Stories"", ""Two-sided book"", ""Multiple Themes"", ""Reversible Book"", ""Interactive Reading"", ""Choice-driven Stories"", ""Dual Narrative"""
1027,1922,823/KEL,Higher Secondary section,BKS,9789352755349,Scholastic,308p.,New york,"Kelkar, Supriya",Ahimsa,"It is 1942 and 10-year-old Anjali's mother has joined India's freedom struggle. Anjali gets unwillingly involved in the turmoil. She has to give up her biases against the Dalit community, or the so-called untouchables, and sacrifice her foreign-made clothes for khadi. When her world turns upside down, will Anjali be able to overcome her internal struggles and summon the courage needed to complete her mother's social reform work? Inspired by her great-grandmother's experience working with Gandhi, Supriya Kelkar brings to life the stories of the unsung heroes of India's War of Independence.",,,2018,"""India's Freedom Struggle, 1942, Social Reform, Dalit Community, Child Protagonist, Sacrifice, Independence War, Internal Struggles, Historical Fiction, Indian Culture, Khadi, Ahimsa, Gandhi, Biographical Inspiration, Mother-Daughter Relationship, Prejudice and Bias, Social Hierarchy, Culture Clash, Coming of Age"""
1028,1923,917.1/HYM,Reference section,BKS,,National geographic society,56p.,Washington,"Hyman, Charles O.",The lure of fareway places,,,,1985,"""Travel, Adventure, Exploration, Destination, Uncharted places, Journey, Wanderlust, Unknown, Discovery, Experiences, Culture, Scenery, Travelogue, Travel stories, Backpacking, Insightful"""
1029,1924,823/TAG,Higher Secondary section,BKS,9780143330141,Puffin books,200p.,Delhi,"Tagore, Rabindranath",The land of cards : stories poems and plays for children,,,Puffin classics,2010,"""Children's Literature, Poetry for Children, Children's Plays, Story Collections for Children, Educational, Imagination & Play, Fairy Tales & Folklore, Children's Fantasy"""
1030,1925,520/KER,Reference section,BKS,9780946994007,Christensen press,31p.,London,"Kerrod, Robin",The mysterious universe and our planet earth,"Presents questions and answers about the universe, including the sun, earth, moon, and other planets, stars, and galaxies",,The question and answer books,1984,"""Universe"", ""Earth"", ""Solar System"", ""Astrophysics"", ""Space Exploration"", ""Planetary Science"", ""Stars"", ""Galaxies"", ""Cosmology"", ""Natural Science"", ""Space and Astronomy"", ""Educational"", ""Planets"", ""Cosmic Mysteries"", ""Space Knowledge"", ""Science Questions"", ""Science Answers"""
1031,1926,823/DAL,Secondary section,BKS,9780143427902,Puffin books,57p.,Delhi,"Dalal, Deepak",Talon the falcon,"Peregrine falcons are hunters, the fastest creatures in the world. But when Talon is locked in a cage--his wings stilled forever--his mighty heart and spirit are broken. He bemoans the loss of his wings, crooning the song all caged birds sing. No bird or squirrel anywhere in the world would ever dream of rescuing a falcon. But in the Rose Garden lives a squirrel like no other. Shikar the squirrel, a kind-hearted creature, is friends with the birds of the garden.",,Feather tales,2016,"""Animal Protagonists"", ""Falcon"", ""Peregrine Falcon"", ""Inspirational"", ""Animal Friendship"", ""Caged Birds"", ""Rescue Story"", ""Adventure"", ""Squirrels"", ""Animal Characters"", ""Nature and Wildlife"", ""Courage"", ""Hope"", ""Children's Literature"", ""Birds"""
1032,1927,081/LEO,Reference section,BKS,9780600354765,Hamlyn,396p.,London,"Leokum, Arkady",Lots more tell me why : answers to hundreds of questions children ask,,,,1972,"""Children's Questions, Educational, Children's Non-fiction, Knowledge Discovery, Question and Answer, General Knowledge, Learning Resource, Children's Curiosity"""
1033,1928,954.0254/MAN,Reference section,BKS,9780143330837,Puffin books,122p.,Delhi,"Mandnana, Kavitha",Akbar : the mighty emperor,"On the life of Akbar, 1542-1605, Emperor of Hindustan",,Puffin lives series,2010,"""Akbar"", ""Mighty Emperor"", ""Emperor of Hindustan"", ""1542-1605"", ""Biography"", ""Historical"", ""Indian History"", ""Mughal Empire"", ""Non-fiction"""
1034,1929,537/WHA,Secondary section,BKS,9781854344908,Two can publishing,48p.,London,"Whalley, Margaret",Electricity and magnetism,"Presents information on the nature and properties of electricity and magnetism and describes experiments to demonstrate how they work. Includes a multimedia disk containing activities, puzzles, games, and more experiments",,Interfact : the book and disk that work together,1997,"""Science"", ""Electricity"", ""Magnetism"", ""Experiments"", ""Detailed Guides"", ""Physics"", ""Interactive Learning"", ""Educational Games"", ""Multimedia Content"", ""Activities and Puzzles"", ""Educational Material"", ""Practical Learning"", ""Physics for Children"""
1035,193,510.076/PIM,Teachers resources - Higher Secondary section,BKS,9781398300736,Hodder education,152p.,London,"Pimentel, Ric",Cambridge checkpoint lower secondary mathematics : teachers guide 8,We are working with cambridge assessment international education to gain endorsement for this forthcoming title.,,,2021,"""Education, Teaching Guide, Mathematics, Secondary Education, Cambridge Checkpoint, Teacher's Manual, Cambridge Assessment International Education, Lower Secondary, Mathematics Curriculum, Educational Material, Endorsed Resource"""
1036,1930,338/KHA,Higher Secondary section,BKS,,I watch publication,242p.,Mumbai,"Khanna, Krishan",Handbook of suggestions and solutions for transforming bharat,,,,,"""India, Bharat, Transformation, Handbook, Solutions, Suggestions, Development Strategies, Social Change, Economic Growth, Government Policies, Indian Politics, Localization, Infrastructure Development, Indian Society"""
1037,1931,823/TAN,Secondary section,BKS,9789386082237,Shree book centre,120p.,Mumbai,"Tan, Caline",Dragonfly rescue,"It's time for some drama! Literally! Mabel and Julie are all excited when they learn that there is going to be a year-end performance. Everyone in class is jostling for the prime roles. Who will get to play Snow White? Who will be the prince? Will anyone want to be the Evil Queen? Then, something terrible happens ... something that not only puts Mabel in danger, but also threatens to wreck the future.",,Robozonic series,2016,"""Children's Literature, Drama, School Performance, Adventure, Friendship, Suspense, Fantasy, Conflict, Drama Play, Year-End Show, Role-Playing, Danger, Fate, Mabel (Character), Julie (Character), Snow White, Prince, Evil Queen"""
1038,1932,398.2/FOL,Higher Secondary section,BKS,9788179635551,Shree book centre,96p.,Mumbai,,Folk tales of north india : the rats wedding and other stories,,,Literary classics,2019,"""Folk Tales"", ""North India"", ""Rat's Wedding"", ""Short Stories"", ""Indian Folklore"", ""Cultural Stories"", ""Traditional Tales"", ""Children's Literature"", ""Story Collection"", ""Indian Culture"", ""Folklore Collection"""
1039,1933,333.72/GUP,Higher Secondary section,BKS,9780143450917,Puffin books,215p.,Delhi,"Gupta, Meghaa",Unearthed : the environmental history of independent india,,,,2020,"""Environmental History, Independent India, Climate Change, Indian Politics, Sustainability, Natural Resources Management, Biodiversity, Conservation, Environmental Policy, Environmentalism, Ecology, Indian History, Green Movement, Environmental Science"""
1040,1934,387.5/FER,Higher Secondary section,BKS,9780143450139,Penguin books,210p.,New york,"Fernandes, Joeanna Rebello",Journey to the edge of the earth : a true adventure,Biography,,Travel far and wide with an Indian sailor and his endless love for the sea!,2022,"""Biography, Adventure, Journey, Travel, Exploration, True Story, Non-fiction"""
1041,1935,823.01/BAG,Secondary section,BKS,9789350492796,Shree book centre,108p.,Mumbai,"Bagli, Katie",Odyssey in the oceans,Collection of 18 short stories,,Natures delights for young readers,2012,"""Short Stories"", ""Ocean Adventures"", ""Maritime Literature"", ""Collection"", ""Sea Exploration"", ""Odyssey"", ""Travel"", ""Adventure"", ""Nautical"", ""Marine Fiction"""
1042,1936,425/VAR,Teachers resources - Secondary section,BKS,,Book magic,184p.,Delhi,"Varma, Nishu",Magic with english grammar : comprehensive english grammar and composition,Comprehensive english grammar and composition,,,2017,"""English Grammar, Language Learning, Grammar Guide, Composition Skills, Writing Guide, English Language Skills, Educational, Reference, Academic, Comprehensive Study, Language Arts, English Composition, Literacy, Language Development"""
1043,1937,031/ELD,Reference section,BKS,9781858305608,Grandreams,94p.,London,"Eldin, Peter",500 Fantastics facts,,,,1999,"""Education, Reference, Non-fiction, Trivia, Knowledge, Fun Facts, Informational, General Knowledge, Entertainment, Learning"""
1044,1938,823.01/BAG,Secondary section,BKS,9789350492826,Shree book centre,102p.,Mumbai,"Bagli, Katie",How blue is our planet?,Collection of 16 short stories,,Natures delights for young readers,2014,"""Short Stories Collection, Planet Earth, Environment, Ecology, Blue Planet, Nature, Science Fiction, Anthology, Earth, Color Perception"""
1045,1939,823/OSB,Secondary section,BKS,9780525648390,Random house,87p.,New york,"Osborne, Mary Pope",Narwhal on a sunny night  ,The magic tree house whisks Jack and Annie away to Greenland where they discover they've traveled back in time to meet Lief Erikson,,Magic tree house #33,2020,"""Children's Books, Adventure, Fiction, Time Travel, Magic, Greenland, Vikings, Historical Fiction, Fantasy, Leif Erikson, Narwhal, Magic Tree House Series"""
1046,194,510.076/PIM,Teachers resources - Higher Secondary section,BKS,9781398300743,Hodder education,131p.,London,"Pimentel, Ric",Cambridge checkpoint lower secondary mathematics : teachers guide 9,,,,2021,"""Education, Mathematics, Teachers' Guide, Lower Secondary, Cambridge Checkpoint, Mathematics Teaching, Learning Resources, Educational Materials, Maths Curriculum, Instructional Guide, Cambridge Secondary Education, Mathematics Education"""
1047,1940,909.08/CAN,Higher Secondary section,BKS,9780706406917,Octopus books limited,352p.,London,,Adventure stories for girls,,,,1978,"""Adventure, Girls, Youth Literature, Children's Books, Female Protagonists, Empowerment, Short Stories"""
1048,1941,823.087/CHO,Higher Secondary section,BKS,9789389297379,Scholastic,381p.,New york,"Chokshi, Roshani",Aru shah and the song of death,"Aru is just getting the hang of this whole Pandava thing when the Otherworld goes into full panic mode. The god of love's bow and arrow have gone missing, and the thief isn't playing Cupid. If that weren't bad enough, Aru gets framed as the thief. If she doesn't find the arrow by the next full moon, she'll be kicked out of the Otherworld.",,Pandava novel,2019,"""Fantasy, Mythology, Adventure, Magic, Gods and Goddesses, Otherworld, Indian Culture, Young Adult, Mystery, Innocence Accused, Quest"""
1049,1942,823.087/CHO,Higher Secondary section,BKS,9789389297362,Scholastic,355p.,New york,"Chokshi, Roshani",Aru shah and the end of time,"Aru Shah has a tendency to stretch the truth in order to fit in at her private middle school. While her classmates are jetting off to exotic vacations, she'll be spending her autumn break in the Museum of Ancient Indian Art and Culture that her mom curates. Is it any wonder Aru makes up stories about being royalty, traveling to Paris, and having a chauffeur? One day, three schoolmates show up at Aru's doorstep to catch her in a lie. They don't believe her claim that the museum's Lamp of Bharata is cursed, and they dare Aru to prove it. Just a quick light, Aru thinks. Then she'll never ever fib again. But lighting the lamp has dire consequences. She unwittingly frees the Sleeper, an ancient demon who is intent on awakening the God of Destruction. Her classmates and mother are frozen in time, and it's up to Aru to save them.",,Pandava novel,2021,"""Middle School Fiction, Indian Mythology, Adventure, Fantasy, Female Protagonist, Museum, Ancient Artifacts, Time-Travel, Demon, Magical Curses, Tween Literature, Girl Power, Cultural Heritage, Hinduism, Lying Consequences, Supernatural, Good vs Evil, Coming-of-Age, Family, Courage, Friendship"""
1050,1943,823.087/CHO,Higher Secondary section,BKS,9789390066865,Scholastic,386p.,New york,"Chokshi, Roshani",Aru shah and the tree of wishes,"War between the devas and the demons is imminent, and the Otherworld is on high alert. Aru Shah and her friends are sent on a mission to rescue two targets, one of whom is about to utter a prophecy that cannot reach the ears of villainous the Sleeper. A mystical wish-granting tree might be Aru's only hope to save the day.",,Pandava novel,2020,"""Fantasy, Adventure, Mythology, Young Adult, Friendship, War, Prophecy, Otherworld, Mission, Villain, Wish-Granting Tree"""
1051,1944,823.087/CHO,Higher Secondary section,BKS,9789354713293,Scholastic,373p.,New york,"Chokshi, Roshani",Aru shah and the nectar of immortality,"Has everything I like: humour, action, great characters and awesome mythology!' Rick Riordan, bestselling author of Percy Jackson 'A new star is born.' Eoin Colfer, bestselling author of Artemis Fowl The fifth fast-paced fantasy adventure starring Aru Shah! Aru only has until the next full moon to stop the Sleeper from gaining access to the nectar of immortality, which will grant him infinite power. Her quest will have the Pandavas calling on old friends, meeting new allies, and facing fearsome trials, like...performing in a rock concert? When the moment of confrontation finally arrives, it's up to Aru to decide who deserves immortality, the devas or the asuras.",,Pandava novel,2022,"""Fantasy, Adventure, Humor, Action, Mythology, Children's fiction, Young Adult, Female Protagonist, Immortality, Quest, Indian Mythology, Character Development, Trials and Challenges, Friendship, Decision Making, Good vs Evil"""
1052,1945,822.33/PIN,Higher Secondary section,BKS,,Morning star,160p.,Delhi,"Pinto, Xavier",The Merchant of venice,,,,2013,"""William Shakespeare"", ""The Merchant of Venice"", ""Drama"", ""Play"", ""16th Century Literature"", ""English Literature"", ""Romance"", ""Comedy"", ""Tragedy"", ""Venice"", ""Courtroom Drama"", ""Moneylender"", ""Classic"", ""Antisemitism"", ""Friendship"", ""Revenge"", ""Justice"", ""Love and Sacrifice"", ""Betrayal"", ""Mercy"""
1053,1946,822.33/BAL,Teachers resources - Higher Secondary section,BKS,,Inter university press,86p.,Delhi,"Bala, Vijayan",The Merchant of venice : workbook cum notes,,,,2018,"""William Shakespeare, Merchant of Venice, Education, Literature Guides, Study Materials, Workbook, Educational Workbook, Shakespearian Plays, English Literature, School Workbook"""
1054,1947,823.087/SON,Higher Secondary section,BKS,9781496502230,Stone arch books,159p.,Minnesota,"Sonneborn, Scott",The Frankenstein journals : guts or bust  ,"In this compilation of two separately published works, J.D. locates two more of his ""cousins"", the descendents and relations of the people whose body parts Doctor Frankenstein used--and he also encounters vampires, werewolves, the Invisible Man, and the relentless Fran, who wants to recreate her father's experiments",,The Frankenstein journals,2016,"""Frankenstein"", ""Fantasy"", ""Horror"", ""Classic characters"", ""Vampires"", ""Werewolves"", ""Scientific experiments"", ""Family secrets"", ""Invisible Man"", ""Adventure"", ""Humour"", ""Monster literature"", ""Classic Literature Spin-offs"", ""Crossover characters"", ""Young Adult Fiction"""
1055,1948,823.087/SON,Higher Secondary section,BKS,9781496502223,Stone arch books,75p.,Minnesota,"Sonneborn, Scott",The Frankenstein journals : a pain in the butt,"Discovers a cousin, Bertie, who is extremely rich and likes sitting on his bottom and doing nothing all day. Speaking of bottoms, that's how J.D. convince the slacker Bertie that he really is related to an adventurer like J.D. Readers will be swept up in the story's use of maps, diary entries, and mixed media images as J.D.",,The Frankenstein journals,2016,"""Adventure, Family, Humor, Diary Entries, Mixed Media, Rich Relatives, Lazy Characters, Maps, Children's Book, Frankenstein Character, Relative Relationships, Wealth"""
1056,1949,823.087/SON,Higher Secondary section,BKS,9781434291301,Stone arch books,154p.,Minnesota,"Sonneborn, Scott",The Frankenstein journals,"In this combination of two separately published works, J.D. discovers that he is the son of Frankenstein's monster, and armed with the Doctor's journal he sets out to find his ""relatives""--The descendents and relations of the people whose body parts Doctor Frankenstein used",,The Frankenstein journals,2014,"""Frankenstein"", ""Journal"", ""Monster"", ""Descendents"", ""Doctor Frankenstein"", ""Body Parts"", ""Supernatural"", ""Family"", ""Discovery"", ""Identity"", ""Adventure"", ""Mystery"", ""Horror"", ""Gothic Fiction"", ""Sci-Fi"", ""Classics"", ""Suspense"""
1057,195,510.076/PIM,Teachers resources - Higher Secondary section,BKS,9781510421400,Hodder education,596p.,London,"Pimentel, Ric",Cambridge IGCSE international mathematics : second edition,,,,2018,"""Education, Mathematics, International Curriculum, IGCSE, Study Guide, Cambridge, Textbook, Second Edition, Exam Preparation, Learning Resources"""
1058,1950,004/MAL,Teachers resources - Secondary section,BKS,9788194943785,Gaint wheel education,91p.,United states of America,"Malhotra, Rakhi",Train the Brain : learning technology 5,Computer applications,,Junior series,2021,"""Education Technology"", ""Computer Applications"", ""Brain Training"", ""Learning Technology"", ""E-Learning"", ""Soft Skills"", ""Personal Development"", ""Digital Learning"", ""Computer-Based Learning"", ""Self-Improvement"", ""Teaching Techniques"", ""Modern Education"", ""Tech Education"", ""Instructional Technology"", ""Applied Neuroscience"""
1059,1951,004/MAL,Teachers resources - Higher Secondary section,BKS,9788194943723,Gaint wheel education,183p.,United states of America,"Malhotra, Rakhi",Train the Brain : learning technology 8,Computer applications,,Junior series,2021,"""Education Technology, Learning Technology, Training the Brain, Computer Applications, Computer-Assisted Learning, Educational Software, E-Learning, Technology in Education, Digital Learning Tools, Pedagogical Technology"""
1060,1952,004/MAL,Teachers resources - Secondary section,BKS,9788194943723,Gaint wheel education,192p.,United states of America,"Malhotra, Rakhi",Train the Brain : learning technology 6,Computer applications,,Junior series,2021,"""Education Technology, Brain Training, Computer Applications, Learning Technology, Educational Software, Instructional Technology, Cognitive Development, E-learning, Technology Education, Interactive Learning"""
1061,1953,004/MAL,Teachers resources - Secondary section,BKS,9788194943791,Gaint wheel education,151p.,United states of America,"Malhotra, Rakhi",Train the Brain : learning technology 7,Computer applications,,Junior series,2021,"""Computer Applications, Learning Technology, Brain Training, Educational Software, Cognitive Enhancement, Brain-Computer Interfaces, Technology Education, E-Learning, Information Technology, Teaching Resources"""
1062,1954,004/MAL,Teachers resources - Primary section,BKS,9788194943709,Gaint wheel education,64p.,United states of America,"Malhotra, Rakhi",Train the Brain : learning technology 1,Computer applications,,Junior series,2021,"""Computer Applications, Learning Technology, Brain Training, Educational Technology, Cognitive Development, Information Technology, E-Learning, Computer Assisted Learning, Learning Methods, Technology Education"""
1063,1955,004/MAL,Teachers resources - Primary section,BKS,9788194943754,Gaint wheel education,83p.,United states of America,"Malhotra, Rakhi",Train the Brain : learning technology 2,Computer applications,,Junior series,2021,"""Computer Applications, Learning Technology, Brain Training, Educational Software, Technology in Education, Cognitive Science, Information Technology, Digital Learning, E-Learning, STEM Education"""
1064,1956,004/MAL,Teachers resources - Primary section,BKS,9788194943761,Gaint wheel education,67p.,United states of America,"Malhotra, Rakhi",Train the Brain : learning technology 3,Computer applications,,Junior series,2021,"""Education Technology, Computer Applications, Brain Training, Learning Technology, Cognitive Enhancement, Tech Education, Self-Improvement, Neurology, Computer Science"""
1065,1957,004/MAL,Teachers resources - Primary section,BKS,9788194943778,Gaint wheel education,83p.,United states of America,"Malhotra, Rakhi",Train the Brain : learning technology 4,Computer applications,,Junior series,2021,"""Computer Technology, Learning Technology, Brain Training, Application Development, Educational Tools, Technology Based Learning, Cognitive Enhancement, Skill Development, Advanced Computing, Interactive Learning"""
1066,1958,823/RAT,Higher Secondary section,BKS,9789354228407,Harpercollins childrens books,193p.,Noida,"Ratna, Kalpish",A pandemonium in pakshila,,,,2021,"""Book Title, Abstract Required, Information Not Provided, Not Enough Details"""
1067,1959,823.92/SOU,Higher Secondary section,BKS,9789353576363,Harpercollins childrens books,232p.,Noida,"Soundar, Chitra",Stories of courage and valour : from India and the world,,,,2020,"""Courage"", ""Valour"", ""Short Stories"", ""Inspirational Stories"", ""India"", ""World History"", ""Cultural Diversity"", ""Bravery"", ""Heroism"", ""Non-fiction"""
1068,196,510.076/HAN,Teachers resources - Higher Secondary section,BKS,9781510421646,Hodder education,337p.,London,"Hanrahan, Val",Cambridge IGCSE and O level : additional mathematics,,,Dynamic learning,2018,"""Cambridge IGCSE"", ""O Level"", ""Additional Mathematics"", ""Education"", ""Mathematics Study Guide"", ""Learning Material"", ""Academic Textbook"", ""Exam Preparations"", ""Secondary Education"", ""International Examination"""
1069,1960,428.076/LIN,Teachers resources - Primary section,BKS,9781107676091,Cambridge university press,144p.,Cambridge,"Linse, Caroline",Cambridge global english : learners book 1,Global english,,Completely cambridge,2016,"""English Language Learning"", ""Cambridge Global English"", ""Educational Material"", ""Elementary English"", ""Learners Book"", ""English Curriculum"", ""Global English"", ""Language Acquisition"", ""English as a Second Language"", ""Language Teaching Materials"", ""English Textbook"", ""Cambridge Educational Resources"""
1070,1961,428.076/LIN,Teachers resources - Primary section,BKS,9781107655133,Cambridge university press,111p.,Cambridge,"Linse, Caroline",Cambridge global english : activity book 1,Global english,,Completely cambridge,2016,"""English Language Learning, Cambridge Global English, Activity Book, ESL, English As Second Language, Education, Language Practice, Interactive Learning, Youth Education, English Skills Development, Global English"""
1071,1962,823/DES,Higher Secondary section,BKS,9780143335498,Puffin books,260p.,London,"Desai, Anita",The village by the sea,"With their mother ill and their father permanently drunk, Hari and Lila have to earn the money to keep house and look after their two young sisters. In desperation, Hari runs away to Bombay, and Lila is left to cope alone",,,1982,"""Family Drama, Poverty, Survival, Young Adult, Village Life, Alcoholism, Illness, Sibling Relationships, Indian Culture, Urban Migration, Responsibility, Coping Mechanisms, Adventure"""
1072,1963,823.92/GAH,Higher Secondary section,BKS,9780143447313,Puffin books,233p.,Gurugram,"Gahilote, Shaguna",Curious tales from the desert,,,,2022,"""Adventure, Desert Stories, Fantasy, Mystery Tales, Anthology, Travelogue, Folklore, Bedouin Culture, Exotic Locations, Mythology, Story Collection"""
1073,1964,294.513/MUB,Higher Secondary section,BKS,9780143447801,Puffin books,252p.,Gurugram,"Mubayi, Mudita Chauhan",Mythonama : the big book of Indian mythologies  ,,,,2022,"""Mythology, Indian Mythology, Folklore, Cultural Heritage, Hindu Mythology, Mythological Stories, Ancient India, Religious Beliefs, Traditional Stories, Spirituality"""
1074,1965,823.01/PRA,Higher Secondary section,BKS,9789390356706,Rupa publication,157p.,Delhi,"Pradhan, Priyanka",Tales from the himalayas,,,,2020,"""Himalayas, Adventure, Travel, Tales, Nature, Mountains, Culture, Exploration, Journey, World Geography, Travelogue, Asian Culture"""
1075,1966,398.20954/THA,Higher Secondary section,BKS,9780140348118,Puffin books,104p.,Gurugram,"Thapar, Romila",Indian tales,,,,1991,"""Indian Culture, Folklore, Short Stories, Traditional Tales, Asian Literature, Cultural Heritage, Storytelling, Indian History"""
1076,1967,823/TAN,Secondary section,BKS,9789386082206,Shree book centre,110p.,Mumbai,"Tan, Caline",Fishy tales,"Mabel is in the finals of the inter-class 100-metre dash! Determined to win, she starts to train. Meanwhile, a dying fish from the pond in the Science Garden is asking for help. In the midst of all the activities, Mabel has to study for her English spelling test. Will she be able to win the race, save the fish and score well for her English spelling test?",,Robozonic,2016,"""Children's Literature, School Life, Sprint Racing, Animal Rescue, Fish Story, Academic Pressure, Story of Determination, Environmental Awareness, Values Education, Sports & Competition, Study Balance, English Spelling Test"""
1077,1968,823/OBR,Secondary section,BKS,9788129124036,Rupa publication,152p.,Delhi,"O'brien, Terry",School stories,,,Classic tales for children,2013,"""Education, School Life, Coming of Age, Student Experience, Youth, Childhood Memories, Teenagers, Academic Challenges, Adolescence, Friendship, Social Dynamics, Teen Drama, Life Lessons"""
1078,1969,823/RAN,Primary section,BKS,9780143457640,Duckbill,104p.,Gurgaon,"Rangachari, Devika",The train to tanjore,,,The songs of freedom,2022,"""Travel, Train Journey, Adventure, Destination: Tanjore, Cultural Exposure, Voyage"""
1079,197,510.076/PIM,Teachers resources - Higher Secondary section,BKS,9781510421660,Hodder education,370p.,London,"Pimentel, Ric",Cambridge IGCSE core mathematics : fourth edition,This title is endorsed by Cambridge Assessment International Education to provide full support for the Core content of the syllabus for examination from 2020.,,,2018,"""Education, Mathematics, Cambridge IGCSE, Study Guide, Exam Preparation, Core Mathematics, International Education, Fourth Edition, 2020 Syllabus, Academic Support"""
1080,1970,823/BAN,Higher Secondary section,BKS,9789350491546,Shree book centre,128p.,Mumbai,,The great indian war heroes : strike ahead,,,Young readers,2018,"""Indian History, War Heroes, Military Strategy, Patriotism, Bravery, Historical Biographies, Indian Armed Forces, Non-fiction, War Stories"""
1081,1971,823.01/BAG,Higher Secondary section,BKS,9788184992786,Shree book centre,156p.,Mumbai,"Bagli, Katie",The less liked lovables,Its stories to dispel any myths and misbeliefs and makes one realise how lovable all creatures can be.,,Amazing animal tales,2015,"""Animal Stories, Dispel Myths, Creature Love, Overcoming Misbeliefs, Animal Appreciation, Emotional Understanding, Compassion Education"""
1082,1972,823.01/BAG,Higher Secondary section,BKS,9789350492109,Shree book centre,158p.,Mumbai,"Bagli, Katie",The less known lovables,This book takes a peek into the lives of those animals that are not so well known to most of us and endeavours through its stories to bring before the reader their bizarre images and their strange ways.,,Amazing animal tales,2017,"""Animal Stories"", ""Less Known Animals"", ""Wildlife"", ""Nature"", ""Biodiversity"", ""Educational"", ""Animal Behavior"", ""Environmental Awareness"", ""Nature Stories"", ""Animal Kingdom"", ""Rare Animals"", ""Narrative Nonfiction"", ""Conservation"", ""Eco-Literature"", ""Biodiversity Awareness"""
1083,1973,823.01/BAG,Higher Secondary section,BKS,9788184998054,Shree book centre,168p.,Mumbai,"Bagli, Katie",The mysterious lovables,,,,2018,"""Book title: The Mysterious Lovables, Abstract: Not provided""

""The Mysterious Lovables, Unknown Plot, Mystery, Unspecified Genre, Ambiguous Characters"""
1084,1974,823.01/BAG,Higher Secondary section,BKS,9788179636237,Shree book centre,142p.,Mumbai,"Bagli, Katie",The glamorous lovables,Collection of 15 stories for young readers,,Amazing animal tales,2018,"""Young Readers, Short Stories Collection, Children's Literature, Fiction, Glamour Theme, Youth Literature, Kid's Storybook, Bedtime Stories, Reader Age 6-12, Child-Friendly, Story Compilation, Literary Collection, Educational, Reading Materials for Kids"""
1085,1975,823/ATW,Secondary section,BKS,9781623706173,Capstone yound readers,91p.,Minnesota,"Atwood, Megan",Olive spins a tale : and it's a doozy!  ,"When Olive makes up a story about a trip to Paris to impress her New York pen pal Molly, the lies quickly get out of hand, and threaten their long distance friendship",,Dear molly dear olive,2017,"""Children's Literature"", ""Friendship"", ""Long Distance Relationships"", ""Lies and Deceit"", ""Storytelling"", ""Adventure"", ""Paris"", ""Imagination"", ""Pen Pals"", ""New York"""
1086,1976,823/ATW,Secondary section,BKS,9781623706166,Capstone yound readers,91p.,Minnesota,"Atwood, Megan",Molly discovers magic : then wants to un-discover it,"After a string of incredibly good luck, Molly decides that she has developed magical powers--but when she finds out that her pen pal Olive has had an equally surprising run of minor disasters Molly starts to wonder if her magical good luck is somehow responsible for her friend's problems",,Dear molly dear olive,2017,"""Children's Book, Magic, Good Luck, Friendship, Pen Pal, Disasters, Responsibility, Problem Solving, Life Lessons, Self-Discovery, Fantasy"""
1087,1977,823/OSB,Secondary section,BKS,9780375806162,Random house,73p.,New york,"Osborne, Mary Pope",High tide in hawaii,Jack en Annie leren surfen in Hawaï. Dan gebeuren er vreemde dingen die veroorzaakt blijken te worden door een vloedgolf die hun kant op komt.,,Magic tree house,2003,"""Adventure, Surfing, Hawaii, Natural Disaster, Tsunami, Children's Book, Dutch Language, Mystery, Travel, Ocean"""
1088,1978,823/OSB,Secondary section,BKS,9780679890638,Random house,70p.,New york,"Osborne, Mary Pope",Tonight on the Titanic,"Jack and Annie are in big trouble when the magic tree house whisks them back to the decks of the titanic. With the ill-fated ship about to sink, is there anything they can do to help?",,Magic tree house,1999,"""Children's Books, Time Travel, Fantasy, Adventure, Magic, Historical Fiction, Titanic, Survival, Action, Mystery"""
1089,1979,823/OSB,Secondary section,BKS,9780679890652,Random house,71p.,New york,"Osborne, Mary Pope",Tigers at Twilight,"When the magic tree house whisks Jack and Annie to a forest in India, they meet cool animals. But some of the animals are in danger! Greedy poachers are trapping the rare tigers",,Magic tree house,1999,"""Children's Literature, Adventure, Fiction, Travel, Magic, India, Wildlife Conservation, Tigers, Poaching, Mystery, Fantasy, Animals, Forests"""
1090,198,510.076/PIM,Teachers resources - Higher Secondary section,BKS,9781510421684,Hodder education,549p.,London,"Pimentel, Ric",Cambridge IGCSE mathematics core and extended : fourth edition,,,,2018,"""Education, Mathematics, IGCSE, Cambridge, Study Guide, Core Mathematics, Extended Mathematics, Exam Preparation, Math Textbook, Fourth Edition"""
